"C_REGION";"L_REGION";"C_DEPT";"N_DEPT";"RATIO_DMA";"Annee";"TONNAGE_ DMA";"VA_POPANNEE"
"76";"Occitanie";"66";"Pyrénées-Orientales";"617,830000";"2009";"275486,09000";"445890"
"44";"Grand Est";"67";"Bas-Rhin";"478,880000";"2009";"524101,87000";"1094439"
"44";"Grand Est";"68";"Haut-Rhin";"504,380000";"2009";"377584,12000";"748614"
"84";"Auvergne-Rhône-Alpes";"69";"Rhône";"407,890000";"2009";"696947,60000";"1708671"
"27";"Bourgogne-Franche-Comté";"70";"Haute-Saône";"544,820000";"2009";"130316,62000";"239194"
"27";"Bourgogne-Franche-Comté";"71";"Saône-et-Loire";"539,290000";"2009";"299152,22000";"554720"
"52";"Pays de la Loire";"72";"Sarthe";"479,250000";"2009";"268885,86000";"561050"
"84";"Auvergne-Rhône-Alpes";"73";"Savoie";"655,870000";"2009";"269565,74000";"411007"
"84";"Auvergne-Rhône-Alpes";"74";"Haute-Savoie";"604,460000";"2009";"438716,43000";"725794"
"11";"Ile-de-France";"75";"Paris";"485,630000";"2009";"1084949,29000";"2234105"
"28";"Normandie";"76";"Seine-Maritime";"598,960000";"2009";"748768,95000";"1250120"
"11";"Ile-de-France";"77";"Seine-et-Marne";"517,170000";"2009";"679253,92000";"1313414"
"11";"Ile-de-France";"78";"Yvelines";"447,980000";"2009";"630558,13000";"1407560"
"75";"Nouvelle-Aquitaine";"79";"Deux-Sèvres";"513,250000";"2009";"188024,82000";"366339"
"32";"Hauts-de-France";"80";"Somme";"590,100000";"2009";"336222,15000";"569775"
"76";"Occitanie";"81";"Tarn";"481,690000";"2009";"180161,08000";"374018"
"76";"Occitanie";"82";"Tarn-et-Garonne";"480,110000";"2009";"114886,59000";"239291"
"93";"Provence-Alpes-Côte d'Azur";"83";"Var";"719,740000";"2009";"724996,53000";"1007303"
"93";"Provence-Alpes-Côte d'Azur";"84";"Vaucluse";"593,500000";"2009";"320527,06000";"540065"
"52";"Pays de la Loire";"85";"Vendée";"594,850000";"2009";"372621,31000";"626411"
"75";"Nouvelle-Aquitaine";"86";"Vienne";"509,980000";"2009";"217284,44000";"426066"
"75";"Nouvelle-Aquitaine";"87";"Haute-Vienne";"480,640000";"2009";"180167,98000";"374849"
"44";"Grand Est";"88";"Vosges";"496,070000";"2009";"188602,75000";"380192"
"27";"Bourgogne-Franche-Comté";"89";"Yonne";"519,430000";"2009";"178359,66000";"343377"
"27";"Bourgogne-Franche-Comté";"90";"Territoire-de-Belfort";"482,760000";"2009";"68774,75000";"142461"
"11";"Ile-de-France";"91";"Essonne";"488,710000";"2009";"590367,22000";"1208004"
"11";"Ile-de-France";"92";"Hauts-de-seine";"405,120000";"2009";"632689,37000";"1561745"
"11";"Ile-de-France";"93";"Seine-Saint-Denis";"429,660000";"2009";"651351,16000";"1515983"
"11";"Ile-de-France";"94";"Val-de-Marne";"417,620000";"2009";"550652,03000";"1318537"
"11";"Ile-de-France";"95";"Val-d'Oise";"462,920000";"2009";"541103,77000";"1168892"
"97";"DROM-COM";"971";"Guadeloupe";"509,860000";"2009";"204734,55000";"401554"
"97";"DROM-COM";"972";"Martinique";"454,740000";"2009";"180262,28000";"396404"
"97";"DROM-COM";"973";"Guyane";"415,170000";"2009";"93193,09000";"224469"
"97";"DROM-COM";"974";"La Réunion";"565,700000";"2009";"461815,75000";"816364"
"84";"Auvergne-Rhône-Alpes";"01";"Ain";"490,830000";"2011";"296374,03000";"603827"
"32";"Hauts-de-France";"02";"Aisne";"518,140000";"2011";"280467,64000";"541302"
"84";"Auvergne-Rhône-Alpes";"03";"Allier";"503,750000";"2011";"172649,41000";"342729"
"93";"Provence-Alpes-Côte d'Azur";"04";"Alpes-de-Haute-Provence";"633,950000";"2011";"102040,17000";"160959"
"93";"Provence-Alpes-Côte d'Azur";"05";"Hautes-Alpes";"641,500000";"2011";"88915,50000";"138605"
"93";"Provence-Alpes-Côte d'Azur";"06";"Alpes-Maritimes";"697,190000";"2011";"753834,52000";"1081244"
"84";"Auvergne-Rhône-Alpes";"07";"Ardèche";"480,530000";"2011";"152462,27000";"317277"
"44";"Grand Est";"08";"Ardennes";"521,010000";"2011";"147501,89000";"283110"
"76";"Occitanie";"09";"Ariège";"640,780000";"2011";"97581,14000";"152286"
"44";"Grand Est";"10";"Aube";"538,120000";"2011";"163585,84000";"303997"
"76";"Occitanie";"11";"Aude";"600,080000";"2011";"216007,38000";"359967"
"76";"Occitanie";"12";"Aveyron";"463,660000";"2011";"127883,41000";"275813"
"93";"Provence-Alpes-Côte d'Azur";"13";"Bouches-du-Rhône";"597,990000";"2011";"1181556,37000";"1975896"
"28";"Normandie";"14";"Calvados";"627,540000";"2011";"430030,55000";"685262"
"84";"Auvergne-Rhône-Alpes";"15";"Cantal";"576,110000";"2011";"85021,30000";"147577"
"75";"Nouvelle-Aquitaine";"16";"Charente";"496,080000";"2011";"174970,70000";"352705"
"75";"Nouvelle-Aquitaine";"17";"Charente-Maritime";"651,140000";"2011";"407407,15000";"625682"
"24";"Centre-Val de Loire";"18";"Cher";"502,210000";"2011";"156536,59000";"311694"
"75";"Nouvelle-Aquitaine";"19";"Corrèze";"491,720000";"2011";"119219,46000";"242454"
"27";"Bourgogne-Franche-Comté";"21";"Cote-d'Or";"509,540000";"2011";"267984,42000";"525931"
"53";"Bretagne";"22";"Cotes-d'Armor";"621,100000";"2011";"369164,39000";"594375"
"75";"Nouvelle-Aquitaine";"23";"Creuse";"448,030000";"2011";"54910,70000";"122560"
"75";"Nouvelle-Aquitaine";"24";"Dordogne";"513,670000";"2011";"213260,33000";"415168"
"27";"Bourgogne-Franche-Comté";"25";"Doubs";"506,730000";"2011";"268112,11000";"529103"
"84";"Auvergne-Rhône-Alpes";"26";"Drôme";"506,960000";"2011";"247392,63000";"487993"
"28";"Normandie";"27";"Eure";"599,570000";"2011";"352612,22000";"588111"
"24";"Centre-Val de Loire";"28";"Eure-et-Loir";"568,150000";"2011";"244539,75000";"430416"
"53";"Bretagne";"29";"Finistère";"680,740000";"2011";"612580,73000";"899870"
"94";"Corse";"2A";"Corse-du-Sud";"596,930000";"2011";"87060,53000";"145846"
"94";"Corse";"2B";"Haute-Corse";"686,710000";"2011";"115806,83000";"168640"
"76";"Occitanie";"30";"Gard";"554,260000";"2011";"398155,24000";"718357"
"76";"Occitanie";"31";"Haute-Garonne";"471,720000";"2011";"594473,86000";"1260226"
"76";"Occitanie";"32";"Gers";"462,110000";"2011";"87288,83000";"188893"
"75";"Nouvelle-Aquitaine";"33";"Gironde";"559,310000";"2011";"818646,85000";"1463662"
"76";"Occitanie";"34";"Hérault";"620,510000";"2011";"659008,61000";"1062036"
"53";"Bretagne";"35";"Ille-et-Vilaine";"478,330000";"2011";"476630,17000";"996439"
"24";"Centre-Val de Loire";"36";"Indre";"514,550000";"2011";"118436,44000";"230175"
"24";"Centre-Val de Loire";"37";"Indre-et-Loire";"490,550000";"2011";"291229,55000";"593683"
"84";"Auvergne-Rhône-Alpes";"38";"Isère";"526,540000";"2011";"639851,69000";"1215212"
"27";"Bourgogne-Franche-Comté";"39";"Jura";"491,490000";"2011";"128422,56000";"261294"
"75";"Nouvelle-Aquitaine";"40";"Landes";"885,160000";"2011";"343379,70000";"387929"
"24";"Centre-Val de Loire";"41";"Loir-et-Cher";"517,920000";"2011";"171577,18000";"331280"
"84";"Auvergne-Rhône-Alpes";"42";"Loire";"475,710000";"2011";"356333,88000";"749053"
"84";"Auvergne-Rhône-Alpes";"43";"Haute-Loire";"449,350000";"2011";"101062,02000";"224907"
"52";"Pays de la Loire";"44";"Loire-Atlantique";"518,280000";"2011";"671882,09000";"1296364"
"24";"Centre-Val de Loire";"45";"Loiret";"504,300000";"2011";"332630,04000";"659587"
"76";"Occitanie";"46";"Lot";"518,230000";"2011";"90562,22000";"174754"
"75";"Nouvelle-Aquitaine";"47";"Lot-et-Garonne";"520,860000";"2011";"172335,11000";"330866"
"76";"Occitanie";"48";"Lozère";"508,550000";"2011";"39237,58000";"77156"
"52";"Pays de la Loire";"49";"Maine-et-Loire";"435,560000";"2011";"344241,36000";"790343"
"28";"Normandie";"50";"Manche";"642,340000";"2011";"320866,66000";"499531"
"44";"Grand Est";"51";"Marne";"494,590000";"2011";"280220,69000";"566571"
"44";"Grand Est";"52";"Haute-Marne";"459,090000";"2011";"83726,62000";"182375"
"52";"Pays de la Loire";"53";"Mayenne";"482,560000";"2011";"148162,19000";"307031"
"44";"Grand Est";"54";"Meurthe-et-Moselle";"500,590000";"2011";"366991,30000";"733124"
"44";"Grand Est";"55";"Meuse";"460,160000";"2011";"89066,82000";"193557"
"53";"Bretagne";"56";"Morbihan";"574,940000";"2011";"418027,48000";"727083"
"44";"Grand Est";"57";"Moselle";"525,940000";"2011";"549680,63000";"1045146"
"27";"Bourgogne-Franche-Comté";"58";"Nièvre";"520,320000";"2011";"113607,33000";"218341"
"32";"Hauts-de-France";"59";"Nord";"538,020000";"2011";"1387667,60000";"2579208"
"32";"Hauts-de-France";"60";"Oise";"603,540000";"2011";"486233,36000";"805642"
"28";"Normandie";"61";"Orne";"536,240000";"2011";"155986,44000";"290891"
"32";"Hauts-de-France";"62";"Pas-de-Calais";"634,200000";"2011";"927708,45000";"1462807"
"84";"Auvergne-Rhône-Alpes";"63";"Puy-de-Dôme";"520,640000";"2011";"330850,52000";"635469"
"75";"Nouvelle-Aquitaine";"64";"Pyrénées-Atlantiques";"545,930000";"2011";"358459,97000";"656608"
"76";"Occitanie";"65";"Hautes-Pyrénées";"580,080000";"2011";"132971,30000";"229228"
"76";"Occitanie";"66";"Pyrénées-Orientales";"659,860000";"2011";"298606,24000";"452530"
"44";"Grand Est";"67";"Bas-Rhin";"484,420000";"2011";"532507,13000";"1099269"
"44";"Grand Est";"68";"Haut-Rhin";"530,800000";"2011";"399719,34000";"753056"
"84";"Auvergne-Rhône-Alpes";"69";"Rhône";"408,410000";"2011";"712370,54000";"1744236"
"27";"Bourgogne-Franche-Comté";"70";"Haute-Saône";"496,740000";"2011";"119066,43000";"239695"
