,PC1,PC2,PC3,PC4,PC5
OMR,-0.23145039103620432,0.6983237068952804,-0.3656153147405354,0.5679288680475885,0.05056638550051498
Recyclables,0.5268315774577351,-0.28876260364872786,-0.3471477775858991,0.3996174961080817,-0.5990483495085185
Verts,0.497779732654282,0.13832218924835096,0.6779982349563187,0.4447799047970753,0.2749027817338254
Encombrants,0.34544848792064103,0.6386495112224233,0.13185277042353377,-0.5214798551308372,-0.42832902263687644
Dangereux,0.549326756525255,0.04420331321230295,-0.5184082392016016,-0.21907134596728411,0.616073716831416
