k,inertie,silhouette,plus_petit_groupe,baisse_inertie_pct
2,364.14370938321457,0.3579553501314566,21,
3,290.202968563859,0.29200002658633095,13,20.30537365168169
4,238.84745612140355,0.315065574055135,9,17.696411823973012
5,211.33650033079346,0.24996889352514404,10,11.518211764678199
6,185.23553945005685,0.24091288846732664,1,12.350427323194147
7,162.686337188557,0.26997139941855475,1,12.173259153424798
8,145.17012773022506,0.2515104799897413,1,10.76685956610497
9,137.54256388192056,0.18985476751921238,1,5.254224107647742
10,124.18688173484185,0.20494333249617344,1,9.710217528404142
