annee_validee,n_train,n_valid,modele,n,somme_erreurs_abs,MAE,somme_erreurs_carrees,RMSE,moyenne_y,SS_tot,R2
2013,100,100,Baseline naïve,100,2122.36,21.2236,108923.73220000001,33.00359559199573,524.9695,587225.192275,0.8145111387711197
2013,100,100,Baseline moyenne,100,6383.5992000000015,63.83599200000001,604386.716279,77.74231256394422,524.9695,587225.192275,-0.02922477480489838
2013,100,100,Régression linéaire,100,2100.4702177767313,21.004702177767314,110610.93098525106,33.258221688065504,524.9695,587225.192275,0.8116379671029994
2013,100,100,Random Forest,100,2096.1326545090224,20.961326545090223,106577.13988270974,32.646154426319455,524.9695,587225.192275,0.8185072076526322
2015,200,100,Baseline naïve,100,1879.9000000000005,18.799000000000007,84427.07080000003,29.05633679595555,525.4429,563912.4812589999,0.8502833797693096
2015,200,100,Baseline moyenne,100,5981.8996000000025,59.81899600000003,567605.1095480003,75.33957190932269,525.4429,563912.4812589999,-0.00654822940034272
2015,200,100,Régression linéaire,100,1883.8967443648935,18.838967443648936,81037.67031356478,28.46711617174539,525.4429,563912.4812589999,0.8562938877808861
2015,200,100,Random Forest,100,2158.3274356161896,21.583274356161898,108101.17613457954,32.878743305451856,525.4429,563912.4812589999,0.8083015011598411
2017,300,101,Baseline naïve,101,1947.5300000000007,19.282475247524758,79085.55250000003,27.982588734376026,536.8046534653466,750581.5855128714,0.8946343022178449
2017,300,101,Baseline moyenne,101,6329.456633333332,62.66788745874587,755979.5473510457,86.51558248880193,536.8046534653466,750581.5855128714,-0.0071917056617980535
2017,300,101,Régression linéaire,101,2213.5126601422417,21.9159669321014,95797.02436648608,30.79748999134814,536.8046534653466,750581.5855128714,0.872369604829796
2017,300,101,Random Forest,101,2420.6106504206086,23.966442083372364,127202.78158924392,35.48849787017792,536.8046534653466,750581.5855128714,0.8305277080541132
2019,401,100,Baseline naïve,100,1543.0899999999997,15.430899999999998,51717.76669999999,22.741540559073826,540.1537999999999,707467.2977559998,0.9268973041382372
2019,401,100,Baseline moyenne,100,6261.653615960099,62.61653615960099,715243.7833444965,84.57208660926467,540.1537999999999,707467.2977559998,-0.010992007140347981
2019,401,100,Régression linéaire,100,1642.2296052518545,16.422296052518547,56743.615990688086,23.8209185361707,540.1537999999999,707467.2977559998,0.9197933018661472
2019,401,100,Random Forest,100,1699.5864113759567,16.995864113759566,56050.6174563704,23.67501160641118,540.1537999999999,707467.2977559998,0.9207728503718036
