,PC1,PC2,PC3,PC4,PC5
OMR,-0.3486143854227653,0.8053320962252949,-0.29841046454988657,0.3874811839711013,0.028614015484812096
Recyclables,0.7935223862637819,-0.3330114538740367,-0.2833375009205643,0.27264727898028174,-0.3389836663095745
Verts,0.7497640198328126,0.1595181396849686,0.5533733410508228,0.30346026379994345,0.155559318220787
Encombrants,0.5203201937681755,0.7365136605667915,0.10761651628898242,-0.3557903868803578,-0.24237867043514894
Dangereux,0.827404994932055,0.05097685577314287,-0.4231180622081513,-0.1494659442147483,0.3486178159405985
